Id,SalePrice
1461,125516.06015411406
1462,152799.33736494216
1463,179679.93475700766
1464,183621.00373340648
1465,193418.45532754675
1466,182648.36943266078
1467,166461.64324275462
1468,174948.81536861346
1469,180207.30362048052
1470,125110.03159614535
1471,202029.71803443297
1472,94439.93414531735
1473,97332.97195255342
1474,152655.56305633645
1475,125096.18823013529
1476,363134.6108630735
1477,248586.75990664013
1478,302444.20275030145
1479,269980.25122616795
1480,466263.9632562829
1481,306839.99530306057
1482,205152.31240882105
1483,180686.97163368293
1484,172218.24052478894
1485,174341.42186078642
1486,200012.7056646452
1487,303568.1385697943
1488,233484.05670259186
1489,209095.48764683254
1490,208663.12108569927
1491,191302.27742569605
1492,98624.95727401893
1493,173143.34044361408
1494,294353.1996633558
1495,287223.6045579566
1496,227708.82165923892
1497,185119.70222309206
1498,154607.30536511587
1499,153237.04295296269
1500,160570.9005511819
1501,171507.39244837532
1502,157111.5350518339
1503,278362.23415653483
1504,229381.15925618916
1505,217597.17058222464
1506,175042.00001152413
1507,236748.1837494578
1508,193163.38777800833
1509,160745.75232357992
1510,151059.86065296875
1511,150275.58317485484
1512,168710.56159692229
1513,143308.67089924996
1514,146842.46886324504
1515,184886.41449181945
1516,155380.4081584689
1517,153233.913847099
1518,131551.72885266016
1519,224696.58496149027
1520,139610.8178078911
1521,143144.49218014983
1522,159939.74234985225
1523,114638.86901524871
1524,119640.56771940248
1525,126649.85534217252
1526,127024.13927842819
1527,104424.6337077624
1528,126112.15795085409
1529,141597.23541373145
1530,164340.7184274264
1531,130154.62345233382
1532,103224.75473197868
1533,141124.8265222374
1534,115637.23882159828
1535,149292.31156690163
1536,114050.41120637026
1537,87140.56011868856
1538,155635.49712805732
1539,199278.76336632424
1540,113759.3200276628
1541,141094.98929258608
1542,137915.1952566073
1543,191368.6263080974
1544,86021.84639767425
1545,101362.19943310044
1546,122409.08103958497
1547,136280.503126066
1548,128196.88985027798
1549,113285.23910339015
1550,142320.01996777582
1551,117521.19130403714
1552,138508.15424712756
1553,132981.36740632783
1554,111694.33512832205
1555,168671.70388633787
1556,95164.2750001292
1557,110752.5216043209
1558,92614.20669516077
1559,104297.72603394547
1560,143708.01832929725
1561,128587.78953862218
1562,126063.62766764338
1563,123830.7559923589
1564,158909.2298768177
1565,157683.33579228903
1566,215483.61183079975
1567,84028.34327971471
1568,220109.47577648592
1569,142801.84199629174
1570,137129.81235128728
1571,128451.42684105091
1572,145103.2048559059
1573,236677.51202693573
1574,116011.81043379384
1575,216745.98396532566
1576,226737.04558780458
1577,200848.44629672015
1578,139462.7270122062
1579,143743.28653424355
1580,188599.91236217212
1581,138501.51390209162
1582,127554.68849305478
1583,317342.26588159404
1584,240375.16354150587
1585,140288.60613907664
1586,77410.8916993463
1587,105458.7092505552
1588,145885.3837354617
1589,101145.9121462721
1590,131750.66814157757
1591,102361.34522416214
1592,122623.62014878479
1593,116383.27880319854
1594,120985.53440146029
1595,118805.2119682231
1596,219530.68006677274
1597,161176.00916230434
1598,185697.2232810641
1599,177636.51299157884
1600,182151.28925722674
1601,74105.6090914826
1602,110422.93884636935
1603,91377.2512956592
1604,277930.7109643443
1605,247450.25336409092
1606,168081.5094414881
1607,158429.75230426164
1608,217309.2914060611
1609,197833.04872793978
1610,164718.08043269307
1611,150239.7957436515
1612,177981.43584278112
1613,169259.53392593286
1614,121297.1837710225
1615,86127.46758459113
1616,81894.82958257421
1617,88197.41774781971
1618,125421.49018197651
1619,132785.8016646042
1620,153738.66427016628
1621,139561.27724041365
1622,142876.51470826447
1623,271595.5871235834
1624,216483.69197389146
1625,126641.75131108455
1626,169580.08774314995
1627,185293.34739340725
1628,269446.7303792053
1629,177029.9377539545
1630,329631.0507878293
1631,200450.23795186984
1632,245449.33910709448
1633,170878.14889853194
1634,185152.824738702
